"Genotype" "predicted.value" "standard.error" "est.status"
"349" "F1F016M015" 0.410159577648785 0.0660580187257165 "Estimable"
"350" "F1F017M001" 0.311831209326567 0.0541502966106868 "Estimable"
"351" "F1F017M002" 0.311127975196648 0.0541258409092936 "Estimable"
"352" "F1F017M003" 0.266222836181454 0.054138528338554 "Estimable"
"353" "F1F017M004" 0.266874355996049 0.0541265247385953 "Estimable"
"354" "F1F017M005" 0.331838972214886 0.0541348414802112 "Estimable"
"355" "F1F017M006" 0.345513912985163 0.0541286115241314 "Estimable"
"356" "F1F017M007" 0.338495238856086 0.0541198598563214 "Estimable"
"357" "F1F017M008" 0.243480614916167 0.0541429614509191 "Estimable"
"358" "F1F017M009" 0.384707160704389 0.0541394421784683 "Estimable"
"359" "F1F017M010" 0.352429669132909 0.0541205165497681 "Estimable"
"360" "F1F017M012" 0.30452348021048 0.0541318148569714 "Estimable"
"361" "F1F017M013" 0.268766849214162 0.0541373604522211 "Estimable"
"362" "F1F017M014" 0.285717885263728 0.0541256612727842 "Estimable"
"363" "F1F017M015" 0.244698222374157 0.0541205006362785 "Estimable"
"364" "F1F018M001" 0.32800816300195 0.066002035553966 "Estimable"
"365" "F1F018M003" 0.276613604404715 0.0660843347713537 "Estimable"
"366" "F1F018M006" 0.42339478772413 0.0660581660646295 "Estimable"
"367" "F1F018M007" 0.2750754591735 0.0660646556404406 "Estimable"
"368" "F1F018M009" 0.406960103177347 0.0660013543805688 "Estimable"
"369" "F1F018M010" 0.445849285406465 0.06607709048391 "Estimable"
"370" "F1F018M013" 0.352417178984312 0.0660840852519858 "Estimable"
"371" "F1F018M014" 0.268428679502664 0.0660787980040374 "Estimable"
"372" "F1F018M015" 0.278226662532289 0.0660713502708454 "Estimable"
"373" "F1F019M001" 0.2910079781506 0.0660801580794443 "Estimable"
"374" "F1F019M003" 0.353174342871592 0.0660594810179552 "Estimable"
"375" "F1F019M005" 0.323354706696481 0.0660553984864771 "Estimable"
"376" "F1F019M009" 0.322436874290385 0.0660596250298188 "Estimable"
"377" "F1F019M010" 0.238671966601233 0.0660583612050502 "Estimable"
"378" "F1F019M013" 0.282678424333842 0.0660588189875153 "Estimable"
"379" "F1F019M014" 0.293246490593183 0.0660676305876259 "Estimable"
"380" "F1F019M015" 0.370361015991927 0.0660017641014829 "Estimable"
"381" "F1F020M001" 0.294290377694468 0.0659969079950243 "Estimable"
"382" "F1F020M002" 0.376414515846934 0.0660697708875153 "Estimable"
